date,ticks_window1,ticks_window2
2018-06-25,292,406
2018-06-26,273,375
2018-06-27,238,322
2018-06-28,279,294
2018-06-29,525,511
2018-07-02,339,328
2018-07-03,192,421
2018-07-04,154,239
2018-07-05,366,201
2018-07-06,273,339
2018-07-09,154,224
2018-07-10,379,331
2018-07-11,526,321
2018-07-12,221,300
2018-07-13,172,169
2018-07-16,130,347
2018-07-17,285,305
2018-07-18,351,268
2018-07-19,176,415
2018-07-20,301,376
2018-07-23,211,279
2018-07-24,472,488
2018-07-25,327,375
2018-07-26,123,274
2018-07-27,232,194
2018-07-30,58,261
2018-07-31,245,413
2018-08-01,404,195
2018-08-02,118,270
2018-08-03,292,206
2018-08-06,304,314
2018-08-07,176,179
2018-08-08,421,286
2018-08-09,209,178
2018-08-10,367,404
2018-08-13,406,237
2018-08-14,288,238
2018-08-15,152,366
2018-08-16,338,280
2018-08-17,361,337
2018-08-20,163,291
2018-08-21,293,153
2018-08-22,240,249
2018-08-23,252,268
2018-08-24,187,195
2018-08-27,121,247
2018-08-28,99,366
2018-08-29,114,350
2018-08-30,326,356
2018-08-31,243,225
2018-09-03,222,175
2018-09-04,111,267
2018-09-05,156,428
2018-09-06,433,333
2018-09-07,294,232
2018-09-10,154,181
2018-09-11,186,229
2018-09-12,139,256
2018-09-13,245,294
2018-09-14,207,134
2018-09-17,147,195
2018-09-18,156,296
2018-09-19,83,321
2018-09-20,98,286
2018-09-21,116,439
2018-09-24,128,331
2018-09-25,181,342
2018-09-26,214,313
2018-09-27,181,206
2018-09-28,181,308
2018-10-01,156,237
2018-10-02,81,58
2018-10-03,136,139
2018-10-04,69,111
2018-10-05,91,99
2018-10-08,82,71
2018-10-09,111,82
2018-10-10,91,125
2018-10-11,243,142
2018-10-12,182,128
2018-10-15,553,409
2018-10-16,145,32
2018-10-17,39,51
2018-10-18,40,66
2018-10-19,61,29
2018-10-22,17,12
2018-10-23,6,25
2018-10-24,40,30
2018-10-25,9,53
2018-10-26,43,48
2018-10-29,22,77
2018-10-30,12,23
2018-10-31,13,12
2018-11-01,16,3
2018-11-02,22,28
2018-11-05,32,308
2018-11-06,34,117
2018-11-07,31,18
2018-11-08,47,35
2018-11-09,23,62
2018-11-12,41,36
2018-11-13,39,91
2018-11-14,23,47
2018-11-15,123,223
2018-11-16,122,11
2018-11-19,269,197
2018-11-20,545,561
2018-11-21,524,496
2018-11-22,290,456
2018-11-23,547,408
2018-11-26,474,538
2018-11-27,508,499
2018-11-28,501,433
2018-11-29,474,531
2018-11-30,528,521
2018-12-03,345,414
2018-12-04,566,364
2018-12-05,363,510
2018-12-06,412,307
2018-12-07,484,433
2018-12-10,342,290
2018-12-11,356,436
2018-12-12,275,299
2018-12-13,449,279
2018-12-14,216,353
2018-12-17,234,400
2018-12-18,392,390
2018-12-19,434,493
2018-12-20,521,525
2018-12-21,574,507
2018-12-24,500,472
2018-12-26,461,321
2018-12-27,449,505
2018-12-28,287,468
2018-12-31,246,396
2019-01-02,255,387
2019-01-03,440,427
2019-01-04,379,338
2019-01-07,271,304
2019-01-08,247,435
2019-01-09,225,353
2019-01-10,345,354
2019-01-11,310,180
2019-01-14,263,266
2019-01-15,231,331
2019-01-16,346,230
2019-01-17,232,337
2019-01-18,190,134
2019-01-21,149,402
2019-01-22,190,456
2019-01-23,288,148
2019-01-24,262,316
2019-01-25,148,358
2019-01-28,435,384
2019-01-29,326,205
2019-01-30,171,268
2019-01-31,222,203
2019-02-01,306,280
2019-02-04,116,240
2019-02-05,136,252
2019-02-06,222,336
2019-02-07,389,173
2019-02-08,129,138
2019-02-11,123,154
2019-02-12,292,151
2019-02-13,269,215
2019-02-14,282,288
2019-02-15,158,167
2019-02-18,376,493
2019-02-19,336,265
2019-02-20,234,252
2019-02-21,327,284
2019-02-22,220,217
2019-02-25,200,237
2019-02-26,319,286
2019-02-27,161,169
2019-02-28,225,320
2019-03-01,178,162
2019-03-04,334,306
2019-03-05,92,214
2019-03-06,175,383
2019-03-07,294,154
2019-03-08,263,122
2019-03-11,353,292
2019-03-12,186,169
2019-03-13,149,226
2019-03-14,175,159
2019-03-15,100,338
2019-03-18,396,257
2019-03-19,165,151
2019-03-20,206,162
2019-03-21,181,161
2019-03-22,27,23
2019-03-25,19,19
2019-03-26,20,61
2019-03-27,85,161
2019-03-28,47,57
2019-03-29,80,103
2019-04-01,39,50
2019-04-02,491,132
2019-04-03,142,63
2019-04-04,114,147
2019-04-05,126,199
2019-04-08,226,352
2019-04-09,232,136
2019-04-10,156,57
2019-04-11,188,381
2019-04-12,240,196
2019-04-15,52,51
2019-04-16,135,39
2019-04-17,159,130
2019-04-18,162,104
2019-04-19,48,74
2019-04-22,56,63
2019-04-23,175,62
2019-04-24,234,82
2019-04-25,48,86
2019-04-26,224,163
2019-04-29,68,50
2019-04-30,86,112
2019-05-01,8,64
2019-05-02,48,99
2019-05-03,138,224
2019-05-06,323,161
2019-05-07,243,149
2019-05-08,255,286
2019-05-09,405,285
2019-05-10,126,201
2019-05-13,448,530
2019-05-14,468,529
2019-05-15,377,488
2019-05-16,442,493
2019-05-17,559,506
2019-05-20,500,343
2019-05-21,340,456
2019-05-22,316,444
2019-05-23,304,380
2019-05-24,288,385
2019-05-27,309,340
2019-05-28,369,424
2019-05-29,472,265
2019-05-30,244,128
2019-05-31,477,486
2019-06-03,420,350
2019-06-04,424,393
2019-06-05,395,517
2019-06-06,264,291
2019-06-07,165,252
2019-06-10,342,495
2019-06-11,210,375
2019-06-12,267,384
2019-06-13,150,168
2019-06-14,310,333
2019-06-17,364,405
2019-06-18,400,296
2019-06-19,181,144
2019-06-20,150,253
2019-06-21,332,385
2019-06-24,494,413
2019-06-25,523,572
