date,ticks_window1,ticks_window2
2019-03-21,115,129
2019-03-22,143,203
2019-03-25,129,215
2019-03-26,180,199
2019-03-27,133,192
2019-03-28,172,185
2019-03-29,92,179
2019-04-01,111,182
2019-04-02,97,76
2019-04-03,98,114
2019-04-04,150,107
2019-04-05,50,127
2019-04-08,83,82
2019-04-09,69,94
2019-04-10,94,116
2019-04-11,63,96
2019-04-12,30,150
2019-04-15,56,98
2019-04-16,67,104
2019-04-17,46,52
2019-04-18,110,113
2019-04-22,54,39
2019-04-23,37,82
2019-04-24,69,134
2019-04-25,63,93
2019-04-26,61,139
2019-04-29,64,80
2019-04-30,55,110
2019-05-01,42,53
2019-05-02,81,185
2019-05-03,59,119
2019-05-06,184,183
2019-05-07,99,352
2019-05-08,87,243
2019-05-09,157,215
2019-05-10,202,321
2019-05-13,61,273
2019-05-14,48,167
2019-05-15,113,207
2019-05-16,91,286
2019-05-17,69,255
2019-05-20,71,212
2019-05-21,137,187
2019-05-22,176,295
2019-05-23,163,304
2019-05-24,131,276
2019-05-27,147,115
2019-05-28,122,312
2019-05-29,195,218
2019-05-30,153,181
2019-05-31,224,162
2019-06-03,130,158
2019-06-04,154,276
2019-06-05,156,263
2019-06-06,144,315
2019-06-07,35,102
2019-06-10,105,157
2019-06-11,104,173
2019-06-12,166,248
2019-06-13,164,144
2019-06-14,62,176
2019-06-17,46,153
2019-06-18,73,215
2019-06-19,69,122
2019-06-20,126,146
2019-06-21,144,133
2019-06-24,90,115
2019-06-25,151,109
2019-06-26,121,141
2019-06-27,61,199
2019-06-28,111,113
2019-07-01,132,129
2019-07-02,94,131
2019-07-03,83,105
2019-07-04,40,78
2019-07-05,46,88
2019-07-08,164,153
2019-07-09,114,92
2019-07-10,133,142
2019-07-11,85,106
2019-07-12,46,103
2019-07-15,31,83
2019-07-16,59,78
2019-07-17,33,58
2019-07-18,115,97
2019-07-19,69,138
2019-07-22,102,75
2019-07-23,48,98
2019-07-24,50,99
2019-07-25,48,310
2019-07-29,55,89
2019-07-30,36,193
2019-07-31,107,87
2019-08-01,106,188
2019-08-02,100,173
2019-08-05,167,287
2019-08-06,239,280
2019-08-07,165,244
2019-08-08,151,229
2019-08-09,110,169
2019-08-12,111,207
2019-08-13,172,211
2019-08-14,125,433
2019-08-15,210,454
2019-08-16,117,179
2019-08-19,117,213
2019-08-20,114,156
2019-08-21,118,118
2019-08-22,143,175
2019-08-23,113,165
2019-08-26,213,256
2019-08-27,160,173
2019-08-28,94,240
2019-08-29,122,169
2019-08-30,86,107
2019-09-02,59,87
2019-09-03,130,135
2019-09-04,171,161
2019-09-05,118,84
2019-09-06,58,82
2019-09-09,71,54
2019-09-10,42,146
2019-09-11,122,188
2019-09-12,114,305
2019-09-13,32,51
2019-09-16,91,157
2019-09-17,125,109
